"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","X1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","CV","WVL","Damage","MA","comments","X","logsize_t","logsize_t1","ant_t","ant_t1","flower1_YN","occ_t","occ_t1"
"1","T1","AD10",0,2004,89,72,72,10,1,1,0,0,"vacant",2005,0,0,1,102,63,36,13,3,3,0,0,"vacant",NA,NA,NA,NA,NA,NA,"","",11.7017918438256,11.088741388495,"vacant","vacant",TRUE,"vac","vac"
"2","T1","AD11",0,2004,78,42,42,5,1,1,0,3,"L",2005,0,0,1,93,34,29,3,3,3,0,27,"crem",NA,NA,NA,NA,NA,NA,"","",10.4918712993177,10.0923978208778,"liom","crem",TRUE,"occ","occ"
"3","T1","AD14",0,2004,99,126,126,14,9,9,0,45,"L",2005,0,0,1,100,117,45,12,12,13,1,36,"liom",NA,NA,NA,NA,NA,NA,"","",12.9275069000989,12.0538917313944,"liom","liom",TRUE,"occ","occ"
"4","T1","AD15",0,2004,127,54,54,0,9,9,0,28,"L",2005,0,0,1,105,49,27,3,2,2,0,4,"liom",NA,NA,NA,NA,NA,NA,"","",11.4819784156485,10.5889559056717,"liom","liom",TRUE,"occ","occ"
"5","T1","AD16",0,2004,93,115,115,6,10,10,0,19,"L",2005,0,0,1,68,115,38,11,4,4,0,17,"liom",NA,NA,NA,NA,NA,NA,"","",12.6822869859412,11.5539124229025,"liom","liom",TRUE,"occ","occ"
"6","T1","AD17",0,2004,79,69,69,12,7,11,4,2,"L",2005,0,0,1,95,62,49,11,18,18,0,49,"crem",NA,NA,NA,NA,NA,NA,"","",11.4974840977229,11.2464661691667,"liom","crem",TRUE,"occ","occ"
"7","T1","AD18",0,2004,111,61,61,7,6,6,0,0,"vacant",2005,0,0,1,107,53,43,5,11,11,0,18,"crem",NA,NA,NA,NA,NA,NA,"","",11.5911011657204,11.0750540923391,"vacant","crem",TRUE,"vac","occ"
"8","T1","AD19",0,2004,94,67,67,3,19,21,2,41,"L",2005,0,0,1,98,61,42,3,11,11,0,41,"liom",NA,NA,NA,NA,NA,NA,"","",11.6125032571133,11.1279543300714,"liom","liom",TRUE,"occ","occ"
"9","T1","AD20",0,2004,120,60,60,5,26,27,1,18,"L",2005,0,0,1,125,81,34,12,2,7,5,8,"liom",NA,NA,NA,NA,NA,NA,"","",11.6360041032876,11.5917068689703,"liom","liom",TRUE,"occ","occ"
"10","T1","AD21",0,2004,110,100,100,9,3,4,1,0,"vacant",2005,0,0,1,117,119,56,19,6,6,0,25,"liom",NA,NA,NA,NA,NA,NA,"","",12.57064397383,12.3652747575863,"vacant","liom",TRUE,"vac","occ"
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,27,"L",2005,0,0,1,84,45,34,6,6,6,0,3,"liom",NA,NA,NA,NA,NA,NA,"","",10.0609788001886,10.4432413787189,"liom","liom",TRUE,"occ","occ"
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,8,"L",2005,0,0,1,107,93,72,7,31,31,0,29,"liom",NA,NA,NA,NA,NA,NA,"","",11.9159129870802,12.1582486572046,"liom","liom",TRUE,"occ","occ"
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,0,"vacant",2005,0,0,1,132,63,52,7,23,25,2,0,"vacant",NA,NA,NA,NA,NA,NA,"","",11.01569424668,11.6461950542544,"vacant","vacant",TRUE,"vac","vac"
"14","T1","AD28",0,2004,90,62,62,8,1,1,0,39,"L",2005,0,0,1,96,70,43,6,5,5,0,23,"crem",NA,NA,NA,NA,NA,NA,"","",11.4139016764818,11.292652703834,"liom","crem",TRUE,"occ","occ"
"15","T1","AD29",0,2004,150,130,130,10,22,22,0,47,"L",2005,0,0,1,54,141,61,26,26,27,1,8,"dropoff",NA,NA,NA,NA,NA,NA,"","",13.4055274310688,11.8790483163082,"liom","other",TRUE,"occ","occ"
"16","T1","AD3",0,2004,90,74,74,8,7,7,0,0,"vacant",2005,0,0,1,95,59,50,6,9,13,4,33,"crem",NA,NA,NA,NA,NA,NA,"","",11.7677630928,11.2101015310003,"vacant","crem",TRUE,"vac","occ"
"17","T1","AD4",0,2004,99,94,94,6,17,18,1,0,"vacant",2005,0,0,1,103,98,29,15,17,18,1,4,"drpoff",NA,NA,NA,NA,NA,NA,"","",12.341532650736,11.5966320360883,"vacant","other",TRUE,"vac","occ"
"18","T1","AD6",0,2004,92,58,58,7,8,8,0,26,"L",2005,0,0,1,78,84,54,16,1,1,0,36,"liom",NA,NA,NA,NA,NA,NA,"","",11.3024978342033,11.4847450719455,"liom","liom",TRUE,"occ","occ"
"19","T1","AD8",0,2004,172,124,124,13,20,20,0,7,"L",2005,0,0,1,174,82,79,14,21,21,0,55,"liom",NA,NA,NA,NA,NA,NA,"","",13.4478808440849,12.595392904125,"liom","liom",TRUE,"occ","occ"
"20","T1","AD9",0,2004,84,88,88,3,12,12,0,0,"vacant",2005,0,0,1,87,63,31,8,6,6,0,0,"vacant",NA,NA,NA,NA,NA,NA,"","",12.0453136638611,10.8260265581361,"vacant","vacant",TRUE,"vac","vac"
"21","T1","LJ11",0,2004,56,25,25,6,0,0,0,16,"C",2005,0,0,1,58,39,28,4,0,0,NA,18,"crem",NA,NA,NA,NA,NA,NA,"","",9.12292657653295,9.74335712426986,"crem","crem",FALSE,"occ","occ"
"22","T1","LJ12",0,2004,73,66,66,12,0,0,0,13,"L",2005,0,0,1,76,72,31,9,0,0,NA,23,"crem",NA,NA,NA,NA,NA,NA,"","",11.3295921612626,10.8737201916871,"liom","crem",FALSE,"occ","occ"
"23","T1","LJ13",0,2004,64,28,28,7,0,0,0,27,"C",2005,0,0,1,73,37,22,5,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",9.48311533977148,9.71906320390134,"crem","vacant",FALSE,"occ","vac"
"24","T1","LJ14",0,2004,63,62,62,7,0,0,0,0,"vacant",2005,0,0,1,66,40,29,7,1,1,0,0,"vacant",NA,NA,NA,NA,NA,NA,"","",11.0572267325431,9.93139662616245,"vacant","vacant",TRUE,"vac","vac"
"25","T1","LJ15",0,2004,43,20,20,4,0,0,0,1,"L",2005,0,0,1,46,19,21,5,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",8.41248789886294,8.47992917965848,"liom","vacant",FALSE,"occ","vac"
"26","T1","LJ16",0,2004,57,67,67,9,0,0,0,20,"L",2005,0,0,1,70,69,52,11,0,0,NA,41,"liom",NA,NA,NA,NA,NA,NA,"","",11.1122597426779,11.1136052081843,"liom","liom",FALSE,"occ","occ"
"27","T1","LJ17",0,2004,47,29,29,10,0,0,0,0,"vacant",2005,0,0,1,49,34,28,10,0,0,NA,12,"crem",NA,NA,NA,NA,NA,NA,"","",9.24456249774441,9.41961794314232,"vacant","crem",FALSE,"vac","occ"
"28","T1","LJ3",0,2004,52,35,35,2,0,0,0,0,"vacant",2005,0,0,1,49,34,24,5,0,0,NA,2,"dropoff",NA,NA,NA,NA,NA,NA,"","",9.72176307762165,9.28623519414498,"vacant","other",FALSE,"vac","occ"
"29","T1","LJ8",0,2004,45,29,29,6,0,0,0,0,"vacant",2005,0,0,1,48,45,21,5,0,0,NA,1,"liom",NA,NA,NA,NA,NA,NA,"","",9.20107738580467,9.52403936990225,"vacant","liom",FALSE,"vac","occ"
"30","T1","LJ9",0,2004,63,48,48,6,0,0,0,5,"L",2005,0,0,1,77,45,39,4,0,0,NA,26,"crem",NA,NA,NA,NA,NA,NA,"","",10.5453599842687,10.4789678944818,"liom","crem",FALSE,"occ","occ"
"31","T1","SJ11",0,2004,32,15,15,3,0,0,0,0,"vacant",2005,0,0,1,34,26,23,0,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",7.54165954106555,8.58352999577892,"vacant","vacant",FALSE,"vac","vac"
"32","T1","SJ13",0,2004,22,18,18,2,0,0,0,0,"vacant",2005,0,0,1,33,12,12,3,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",7.53160920521205,7.12614409710388,"vacant","vacant",FALSE,"vac","vac"
"33","T1","SJ17",0,2004,20,13,13,1,0,0,0,0,"vacant",2005,0,0,1,26,11,10,3,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",6.78545422453846,6.62067028840984,"vacant","vacant",FALSE,"vac","vac"
"34","T1","SJ2",0,2004,48,32,32,3,0,0,0,2,"C",2005,0,0,1,51,22,14,2,0,0,NA,8,"crem",NA,NA,NA,NA,NA,NA,"","",9.46249605256874,8.37239238457805,"crem","crem",FALSE,"occ","occ"
"35","T1","SJ20",0,2004,25,22,22,2,0,0,0,0,"vacant",2005,0,0,1,21,19,14,0,0,0,NA,0,"vacant",NA,NA,NA,NA,NA,NA,"","",8.06078396764623,7.31106643559789,"vacant","vacant",FALSE,"vac","vac"
"36","T1","SJ3",0,2004,38,30,30,6,0,0,0,3,"C",2005,0,0,1,34,35,27,4,0,0,NA,2,"crem",NA,NA,NA,NA,NA,NA,"","",9.0998041591121,9.05415816964785,"crem","crem",FALSE,"occ","occ"
"37","T1","SJ4",0,2004,46,42,42,3,0,0,0,15,"C",2005,0,0,1,61,33,24,7,0,0,NA,13,"crem",NA,NA,NA,NA,NA,NA,"","",9.96380386911723,9.47050527478392,"crem","crem",FALSE,"occ","occ"
"38","T1","SJ5",0,2004,23,10,10,2,0,0,0,0,"vacant",2005,0,0,1,30,14,9,3,0,0,NA,6,"crem",NA,NA,NA,NA,NA,NA,"","",6.40048763797864,6.94571468846196,"vacant","crem",FALSE,"vac","occ"
